;Beryllium
;X-Ray Mass Attenuation Coefficients
;source: http://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z04.html
;density = 1.85 [g/cm^3]
;Energy[MeV], mu/rho [cm2/g], mu_en/rho [cm2/g]
1.000000047497451305e-03,6.040999755859375000e+02,6.035000000000000000e+02
1.500000013038516045e-03,1.796999969482421875e+02,1.791000061035156250e+02
2.000000094994902611e-03,7.469000244140625000e+01,7.422000122070312500e+01
3.000000026077032089e-03,2.127000045776367188e+01,2.089999961853027344e+01
4.000000189989805222e-03,8.685000419616699219e+00,8.366999626159667969e+00
4.999999888241291046e-03,4.368999958038330078e+00,4.080999851226806641e+00
6.000000052154064178e-03,2.526999950408935547e+00,2.259999990463256836e+00
8.000000379979610443e-03,1.123999953269958496e+00,8.838999867439270020e-01
9.999999776482582092e-03,6.466000080108642578e-01,4.255000054836273193e-01
1.499999966472387314e-02,3.070000112056732178e-01,1.142999976873397827e-01
1.999999955296516418e-02,2.250999957323074341e-01,4.780000075697898865e-02
2.999999932944774628e-02,1.791999936103820801e-01,1.898000016808509827e-02
3.999999910593032837e-02,1.640000045299530029e-01,1.437999960035085678e-02
5.000000074505805969e-02,1.553999930620193481e-01,1.401000004261732101e-02
5.999999865889549255e-02,1.492999941110610962e-01,1.468000002205371857e-02
7.999999821186065674e-02,1.401000022888183594e-01,1.658000051975250244e-02
1.000000014901161194e-01,1.327999979257583618e-01,1.836000010371208191e-02
1.500000059604644775e-01,1.190000027418136597e-01,2.157000079751014709e-02
2.000000029802322388e-01,1.089000031352043152e-01,2.353000082075595856e-02
3.000000119209289551e-01,9.463000297546386719e-02,2.548000030219554901e-02
4.000000059604644775e-01,8.471000194549560547e-02,2.620000019669532776e-02
5.000000000000000000e-01,7.739000022411346436e-02,2.638999931514263153e-02
6.000000238418579102e-01,7.154999673366546631e-02,2.627000026404857635e-02
8.000000119209289551e-01,6.285999715328216553e-02,2.565000019967556000e-02
1.000000000000000000e+00,5.652000010013580322e-02,2.483000047504901886e-02
1.250000000000000000e+00,5.054000020027160645e-02,2.373000048100948334e-02
1.500000000000000000e+00,4.597000032663345337e-02,2.267999947071075439e-02
2.000000000000000000e+00,3.937999904155731201e-02,2.082999981939792633e-02
3.000000000000000000e+00,3.138000145554542542e-02,1.806000061333179474e-02
4.000000000000000000e+00,2.663999982178211212e-02,1.617000065743923187e-02
5.000000000000000000e+00,2.346999943256378174e-02,1.479000039398670197e-02
6.000000000000000000e+00,2.120999991893768311e-02,1.377000007778406143e-02
8.000000000000000000e+00,1.819000020623207092e-02,1.233000028878450394e-02
1.000000000000000000e+01,1.627000048756599426e-02,1.138000003993511200e-02
1.500000000000000000e+01,1.360999979078769684e-02,1.001000031828880310e-02
2.000000000000000000e+01,1.226999983191490173e-02,9.294000454246997833e-03
